Método                       Descripción
capitalize()    Convierte el primer carácter a mayúscula.
casefold()    Convierte la cadena a minúsculas.
center()    Devuelve una cadena centrada.
count()    Devuelve el número de veces que aparece un valor especificado en una cadena.
encode()    Devuelve una versión codificada de la cadena.
endswith()    Devuelve verdadero si la cadena termina con el valor especificado.
expandtabs()	Establece el tamaño de tabulación de la cadena.
find()    Busca un valor especificado en la cadena y devuelve la posición en la que se ha encontrado.
format()    Da formato a los valores especificados en una cadena.
format_map()    Da formato a los valores especificados en una cadena.
index()    Busca un valor especificado en la cadena y devuelve la posición en la que se ha encontrado.
isalnum()    Devuelve verdadero si todos los caracteres de la cadena son alfanuméricos.
isalpha()	Devuelve True si todos los caracteres de la cadena están en el alfabeto.
isascii()    Devuelve True si todos los caracteres de la cadena son caracteres ASCII.
isdecimal()    Devuelve True si todos los caracteres de la cadena son decimales.
isdigit()    Devuelve True si todos los caracteres de la cadena son dígitos.
isidentifier()    Devuelve True si la cadena es un identificador.
islower()	Devuelve verdadero si todos los caracteres de la cadena están en minúscula.
isnumeric()    Devuelve verdadero si todos los caracteres de la cadena son numéricos.
isprintable()    Devuelve verdadero si todos los caracteres de la cadena son imprimibles.
isspace()    Devuelve verdadero si todos los caracteres de la cadena son espacios en blanco.
istitle()     Devuelve True si la cadena sigue las reglas de un título.
isupper()    Devuelve True si todos los caracteres de la cadena están en mayúscula.
join()    Une los elementos de un iterable al final de la cadena.
ljust()    Devuelve una versión de la cadena justificada a la izquierda.
lower()    Convierte una cadena a minúsculas.
lstrip()    Devuelve una versión de la cadena recortada a la izquierda.
maketrans()	Devuelve una tabla de traducción para usar en traducciones.
partition()    Devuelve una tupla en la que la cadena se divide en tres partes.
replace()    Devuelve una cadena en la que un valor especificado se sustituye por otro valor especificado.
rfind()    Busca un valor especificado en la cadena y devuelve la última posición en la que se ha encontrado.
rindex()    Busca un valor especificado en la cadena y devuelve la última posición en la que se ha encontrado.
rjust()	Devuelve una versión justificada a la derecha de la cadena.
rpartition()    Devuelve una tupla en la que la cadena se divide en tres partes.
rsplit()    Divide la cadena en el separador especificado y devuelve una lista.
rstrip()    Devuelve una versión recortada a la derecha de la cadena.
split()    Divide la cadena en el separador especificado y devuelve una lista.
splitlines()	Divide la cadena en los saltos de línea y devuelve una lista.
startswith()    Devuelve verdadero si la cadena comienza con el valor especificado.
strip()    Devuelve una versión recortada de la cadena.
swapcase()    Intercambia mayúsculas y minúsculas, las minúsculas se convierten en mayúsculas y viceversa.
title()    Convierte el primer carácter de cada palabra en mayúscula.
